Papel,Tam. médio candle,Volume médio,Fragilidade,Antifragilidade,Risco
XPCM11,0.41289923251847627,488927.6951563388,5.13177283685088e-05,1.643427782965673e-05,3.1226031895300324
VRTA11,0.6410943115234377,483846.6393749999,4.741817494320479e-05,1.4483488828895727e-05,3.273947009825541
THRA11,2.303967826704546,324497.08842329547,0.00010108623019572076,5.658384861811543e-05,1.7864855902247307
SDIL11,0.9486001366120219,641403.8245956284,5.826348774136736e-05,1.9593883288594353e-05,2.9735549040083686
SAAG11,0.5564263070077861,1051044.5576585094,6.440089491729114e-05,1.8220872916659483e-05,3.5344571696347717
RNGO11,0.41028581894296184,412912.06539508107,3.3405528142460995e-05,7.918575981719989e-06,4.218628225526605
OUJP11,1.1094553519061583,337072.98980938416,5.762777596761162e-05,1.9731656894644933e-05,2.920574601276971
MXRF11,0.2818792071611254,832105.2981074168,5.4484005339473616e-05,1.2860418719556341e-05,4.236565428201953
MFII11,0.7448854538690475,402994.84408482147,0.00012847870146816544,3.821853195745017e-05,3.3616859384134536
KNRI11,84.68050468682507,2428156.839602592,4.5740049498200995e-05,1.9554553833305242e-05,2.3390996229377894
KNIP11,0.6212714530892449,1652728.8772425633,4.5873516121548826e-05,9.611648020946968e-06,4.772700375791459
KNCR11,16.332342202835353,2520550.5515921484,6.660932405860604e-05,4.3592854682771536e-05,1.52798720210748
JSRE11,34.50265996916752,1226615.0870143885,0.00011614553641213583,3.22988150583549e-05,3.5959689605421565
HTMX11,2.4616521857923503,441559.1537295082,6.289375595285226e-05,2.3099320922359847e-05,2.722753459473863
HGRE11,80.66962199218754,1217246.5540898438,2.8131220401450443e-05,7.857626461694119e-06,3.580116786995408
HGLG11,83.20632915286329,1399540.1641788927,2.2005538817105686e-05,7.985847661608498e-06,2.7555670668370054
HGCR11,60.714342798833854,779048.4850962098,7.738045795224201e-05,2.0504949413894526e-05,3.7737453719250635
HGBS11,139.89185962476537,1241321.986435272,3.6049988773992025e-05,8.534499102003053e-06,4.224030999725698
GGRC11,1.1324981506849308,2296303.5699178083,7.34909938877919e-05,2.97591110841706e-05,2.469529203339782
FVBI11,1.7057128082191773,373991.4444657535,0.00021056403284007753,7.851209254236222e-05,2.681931228956418
FIIB11,10.979557808857816,327977.6732692308,2.6380566176104563e-05,5.426450054423384e-06,4.861477745400122
FIGS11,0.6242896935096153,423658.8744050481,4.336720174787948e-05,6.304301894931011e-06,6.878985567418492
FEXC11,0.9273707650273222,372770.7720765027,6.865949790152595e-05,4.1106918180020495e-05,1.6702662457166892
CARE11,0.003054545454545455,350804.48823609226,0.0002381958578937767,2.853613436316126e-05,8.347166258134662
BRCR11,0.5779366004296456,3969587.1973469383,2.8178238592063587e-05,7.736778728747993e-06,3.642115094665961
BCRI11,0.5643352789699569,364632.5282403434,2.6695550953443747e-05,1.3915760729391904e-05,1.9183680628439705
BBPO11,0.506850578831312,3481969.6030540247,3.397132516886801e-05,1.4503172556663609e-05,2.3423375151983272
TRPL4,0.2414329760280647,11285551.943480803,9.229443669368426e-05,3.3190333478197045e-06,27.807625601084453
STBP3,0.006333924611973393,7332615.167405765,0.00010713923207579184,3.174495025833417e-05,3.375000786075071
SMTO3,0.16962836966533626,8003771.217684986,0.0001028702888431266,3.73676562322062e-05,2.7529232286842067
SLCE3,0.20339221556886225,7719781.094232587,0.0001934450542643609,3.679874845336463e-05,5.256837865274561
SHOW3,0.023371040825482275,1289776.4158815613,1.5474453257037542e-05,1.9117817615501325e-06,8.094257183670573
SEER3,0.14766253132832077,11331710.549498746,5.201645243174161e-05,1.8271297839059895e-05,2.846894232140545
SBSP3,3.98599438243367,26502221.799194876,2.135296553253938e-05,1.102123831772012e-06,19.374379644987574
RSID3,0.08180238466681526,12372621.28549142,0.2738404345364146,0.025422625657176456,10.771524477020854
RLOG3,0.024242423133235734,4788870.9641288435,9.337195394237663e-05,1.2287844881438997e-05,7.598724987439953
RENT3,0.25817890094979645,48367525.286295794,0.00022152670095430083,6.116465411871149e-05,3.6218091011248172
RAIL3,0.06150222222222222,137019083.57124183,0.0002780756637795363,9.329913423788993e-05,2.9804742139462035
RADL3,0.6108770165208941,62463348.072886296,0.00011350416069439215,4.125140070653736e-05,2.7515225846962443
QUAL3,0.1315969453376206,48347166.489664674,9.880912532383288e-05,3.738365177411021e-05,2.643110574667359
PSSA3,0.23182510504201675,15460365.922268908,0.00010278504219099131,3.471443325239469e-05,2.9608734051246812
PRIO3,1.6582276748104468,15364582.693344567,0.00013625479625601575,4.355741114580115e-05,3.128165624901939
POSI3,0.07296870830806548,4020698.3577926015,1.1218886409107537e-05,3.5326991781867664e-06,3.175726503513348
POMO4,0.037608557619408636,6648844.848104624,0.0003257429087543933,6.598415428725392e-05,4.936683848917901
PFRM3,0.0763906192800488,1600132.067724222,8.727671952087515e-05,3.207798691813051e-05,2.7207667283992274
PETR3,2.7515496522693996,125703076.572877,0.0002590677652012176,8.785447469139293e-05,2.9488283449562114
LREN3,0.7910551348406428,69481893.04821575,0.00031557246393791897,8.150115646380914e-05,3.8719998295735834
LPSB3,0.10748422492401216,3064208.043768997,8.69043602712504e-05,9.830626204968194e-06,8.8401652610218
LOGN3,0.037266740296623545,2995229.578415904,4.929982891238135e-05,6.571198719686778e-06,7.502410293069219
LLIS3,0.10153526242613833,1823779.1074035454,0.0009046321057085507,0.00023924251252384338,3.7812347653655127
LINX3,0.29256325267304445,17626001.684862126,0.00028696974575290126,9.798486675692779e-05,2.928714966412012
LIGT3,0.11440111587982832,18434929.874191705,5.87926393689131e-05,1.6811538624700406e-05,3.497159937671132
LEVE3,0.13342653778558874,5054298.578646748,0.0001956039325230645,7.629315139162929e-05,2.5638465439576232
LCAM3,0.09734491611591255,8215925.2689374685,8.672827693364422e-05,1.3022236032949531e-05,6.6600142029525395
LAME3,0.2133077330508474,4759120.0802966105,6.038517611655179,1.7739752605277264,3.403946912911754
KLBN4,0.006223398851590107,7954666.79085689,0.0006578760079707262,4.444851943413427e-05,14.800853129553511
JHSF3,0.009104944029850747,3514371.8550995025,4.885670358951497e-05,5.319702793132505e-06,9.184103979001751
JBSS3,0.05413963112213268,78069787.42684439,7.409412453718796e-05,2.9969673186967593e-05,2.4723033873258258
ITUB3,0.11603780578206076,8192140.50074129,0.0007741575210338001,0.00027128866016701584,2.8536302275119008
ITSA3,0.0279195616693868,2781185.1886220565,0.005156929547158975,0.0006323949462330019,8.154602717617127
IRBR3,0.8186274289985054,137277364.7967115,0.0002285849102795285,8.267275951439967e-05,2.7649362573861387
IGTA3,0.19096042944785274,18370308.720552146,4.9567966311780946e-05,1.0405774006896547e-05,4.763505941886611
HYPE3,0.1122829120323559,53222766.50792046,0.00011442825606258773,3.751343935948566e-05,3.0503269765813505
HBOR3,0.021573658536585365,3227153.077723577,1.7246978397191285e-05,2.757750863660984e-06,6.254001630261656
GUAR3,1.1306266179775282,3429734.048539326,0.003015572476529341,0.001236491658847616,2.4388134403913333
GRND3,0.05505057561486131,4775364.848770278,3.8446790968103316e-05,1.4801284231335458e-05,2.5975307525483835
GGBR3,0.10898399436751939,2825704.4128138935,5.8724510045304225e-05,1.5012663919871111e-05,3.91166486898938
GFSA3,0.12789981417953114,29128755.83733562,4.250523079037754e-05,4.992833203344908e-06,8.513248702540576
FLRY3,0.11016462984723853,19205148.166079123,8.450912322881215e-05,2.672333743358756e-05,3.162371595195883
EZTC3,0.10354250315656567,11746705.124684343,2.24791176212692e-05,3.204274188772257e-06,7.015353960667846
EVEN3,0.022892757444168733,9210581.791253101,2.47869642710406e-05,5.4648604526284265e-06,4.535699399079595
EQTL3,0.17610075604838715,38873363.21337365,9.694260950607641e-05,3.34716785274417e-05,2.896257784819431
ENEV3,0.07009628357276702,10962814.565896316,1.4009965354175892e-05,2.8758435543013585e-06,4.871602049847734
ENBR3,0.10054364209372431,22115419.912852835,0.00023414772990589872,7.952933753781998e-05,2.9441679907688196
CRFB3,0.06844578402366865,56760349.15680473,9.566387037231192e-05,3.262491796916868e-05,2.9322332844703713
CPLE3,0.15899922661200147,1723796.3004099887,0.00011142586720614785,3.300642700182272e-05,3.375883951328466
CPFE3,0.11867496747332815,23358182.649752796,6.0696369863442665e-05,1.9552151412359825e-05,3.1043320289077583
CMIG3,0.30500849972522437,3629618.584539293,0.0007317412831851684,0.0002887123137300727,2.5344997368879083
CIEL3,0.17662529388714732,124381383.97139499,0.0002518919028567771,8.86592092786425e-05,2.84112507776963
CGAS3,2.8185341245727304,1060210.074409419,0.5569680932117421,0.028404656591302847,19.608337506966333
CCRO3,0.17507072286426467,51682611.27033764,0.0001016895891114165,4.377320603639069e-05,2.323101237475666
CCPR3,0.05016848303393212,1310312.0502994012,0.0012945390559325706,0.0004240313019415434,3.052932767003684
CARD3,0.022181990727325414,1024918.5114459577,1.6328853042488325e-05,3.7935237200688526e-06,4.304402515293078
BTOW3,0.5375970344387755,36251687.58896684,7.761400032243607e-05,2.6679900737349758e-05,2.909081300058309
BRPR3,0.03924129045145824,18641878.762684777,8.77516739208537e-05,2.669860128735369e-05,3.286751728167085
BRML3,0.08610624029804408,51858565.46786712,0.00015870298295488972,6.687161895764472e-05,2.3732487029424147
BRFS3,0.2534118647380766,122913121.43940578,0.0003125668130293719,0.00012820366479520886,2.438048970976475
BEEF3,0.02582769133058114,10795654.49444268,2.305909834508396e-05,1.7086650066221958e-06,13.495388654718656
BBSE3,0.1292225638051044,123924757.15603249,0.0005696734651813517,0.00017408176707281767,3.272447624816789
BBRK3,37.69956340946167,3995771.4234910277,7.806577865800684e-05,3.307913340354414e-06,23.59970489723977
BBDC3,0.2883262079062957,24211719.42240117,0.0029853417102093894,0.000805005168148867,3.708475210257681
BBAS3,0.2108566404103315,131112998.38468584,4.8668206259669015e-05,3.7840784765164163e-06,12.861309975915844
ARZZ3,0.35345278875713665,10137236.351339482,0.00010652549921770827,3.941152052098507e-05,2.7029025475174873
ANIM3,0.1659210394489668,7028278.871634315,8.484420530319289e-05,3.0821839636591423e-05,2.752730086962966
AMAR3,0.06578554639175258,6128738.78886598,5.521674790345405e-05,1.0544903987312948e-05,5.236344301464273
ABEV3,0.02835132325141776,273797218.9810964,0.00012074160440069613,3.4004912012775374e-05,3.5507106842486307
AALR3,0.046335487661574616,4226787.042303173,9.681972396953678e-05,3.248848667049011e-05,2.980124157567484
SLED4,0.09767228235836019,1215706.3327959466,0.001375017344558179,0.0001868839366426031,7.357600493978049
OIBR4,0.010400983358547656,26787516.28139183,5.198579482306236e-05,5.450301061532352e-06,9.538151055539407
VIVT4,0.2609030849549122,75802029.78025629,7.78784884057424e-05,2.8210395581167516e-05,2.7606308526113663
SAPR4,0.012236160201973835,3689745.8494376866,0.11843941199467545,0.037886829528504716,3.126136799215828
RAPT4,0.018836438458660683,6572302.653572764,0.00014045239873207278,2.315511020921976e-05,6.065719293192926
PETR4,3.371203843338213,497294286.0400622,5.136622785729439e-05,1.1686730410478405e-05,4.395260783224628
PARD3,0.1641553708439898,10433060.43606138,0.0002387643610077762,8.355199790666313e-05,2.857673867649491
OMGE3,0.14584043348281014,8737014.355754858,7.807881725836392e-05,3.298807613780455e-05,2.3668799881568447
ODPV3,0.16119836561743342,13311243.352300242,0.00010724738853880241,3.0491247174604226e-05,3.5173172131879014
MYPK3,0.4487019655667145,9367876.872625537,0.0007940991049545487,0.00020178366181568833,3.9353984252693786
MULT3,0.279260512086514,32752802.559796438,0.00012983554903750203,4.5231200008775785e-05,2.870486500740888
MRVE3,0.14071416772554005,43559939.98634053,8.330474906766819e-05,1.4501922359323608e-05,5.7443935364961956
MRFG3,0.04973017704710717,24512263.228896618,7.202831102627964e-05,3.0437421442200928e-06,23.66439324141095
MOVI3,0.04231730279898218,15841796.89821883,7.527824371624066e-05,2.642249106343925e-05,2.849021446747806
MILS3,0.06991828282828283,6988079.477575758,0.00012042932903433894,1.9564294804724013e-05,6.155567079538178
MGLU3,6.773427051397656,90842780.90757439,7.99095856100342e-05,1.6385767578574072e-05,4.876767916232589
MEAL3,0.015302485966319166,4951379.963111468,3.8573689423247554e-05,1.3312647858877562e-05,2.8975219529693055
MDIA3,0.633061730249324,13093466.304295585,5.394287945693387e-05,1.5454973721919174e-05,3.490324890066221
KEPL3,0.10267356595294738,1923291.8164816282,0.012351279171319304,0.00027293876435750206,45.25293136866879
JSLG3,0.049966484627831716,3197417.987459547,5.3923646802529056e-05,4.940216899092894e-06,10.91523872411965
ITSA4,0.011612545754026355,88383737.01958272,0.00018782411550227057,5.045570785377652e-05,3.72255436484204
EMBR3,0.06764838983050846,26258385.24858757,0.00011874317114795822,1.221301455366135e-05,9.72267498955531
ELET3,0.34341643183897536,30133306.189204026,5.5589891903857647e-05,1.0527512756109012e-05,5.280439282450584
EGIE3,0.18012224025974027,45303071.03571428,6.206824988809554e-05,2.4870762551249908e-05,2.4956311556670077
ECOR3,0.02717969818913481,24449278.689336017,0.00014762430124307837,5.2716369943297636e-05,2.80035027832654
DTEX3,0.031576673076923086,19454111.17730769,0.00017469283201054396,6.907954843018673e-05,2.5288647071440002
DIRR3,0.023250078308535628,4847978.232967894,2.8781654313445267e-05,3.4860731373330523e-06,8.256182007547917
CYRE3,0.145269489431787,46880096.46582487,0.00011952575740483716,2.9007585522260355e-05,4.120500043449441
CVCB3,0.2803018483110261,38831882.2766093,8.293777529950122e-05,3.392119811268719e-05,2.4450131455846447
CSNA3,0.8782839498260392,61114741.663065374,0.0002754912578027547,0.0001377982733918674,1.999235919446678
