Papel,Tam. médio candle,Volume médio,Fragilidade,Antifragilidade,Risco
XPCM11,0.41289923251847627,488927.6951563388,0.5131772836850869,0.16434277829656643,3.1226031895300417
VRTA11,0.6410943115234377,483846.6393749999,0.4741817494318789,0.14483488828895638,3.2739470098243943
THRA11,2.303967826704546,324497.08842329547,1.0108623019572085,0.5658384861811566,1.786485590224725
SDIL11,0.9486001366120219,641403.8245956284,0.5826348774139605,0.19593883288594202,2.9735549040098554
SAAG11,0.5564263070077861,1051044.5576585094,0.64400894917199,0.1822087291665953,3.5344571696297056
RNGO11,0.41028581894296184,412912.06539508107,0.3340552813882006,0.0791857598172,4.218628225066803
OUJP11,1.1094553519061583,337072.98980938416,0.5762777596757728,0.19731656894644903,2.9205746012752347
MXRF11,0.2818792071611254,832105.2981074168,0.5448400533936621,0.1286041871955639,4.236565428193585
MFII11,0.7448854538690475,402994.84408482147,1.2847870146832532,0.3821853195745008,3.3616859384176445
KNRI11,84.68050468682507,2428156.839602592,0.4574004949820721,0.19554553833305147,2.3390996229381185
KNIP11,0.6212714530892449,1652728.8772425633,0.45873516121501784,0.09611648020946918,4.772700375786589
KNCR11,16.332342202835353,2520550.5515921484,0.6660932405865901,0.4359285468277151,1.5279872021086962
JSRE11,34.50265996916752,1226615.0870143885,1.1614553641008327,0.32298815058354824,3.5959689604786162
HTMX11,2.4616521857923503,441559.1537295082,0.628937559514412,0.23099320922359928,2.722753459412767
HGRE11,80.66962199218754,1217246.5540898438,0.28131220405722973,0.07857626461694074,3.580116787539171
HGLG11,83.20632915286329,1399540.1641788927,0.22005538817177808,0.07985847661608518,2.7555670668460297
HGCR11,60.714342798833854,779048.4850962098,0.7738045795018502,0.20504949413894497,3.7737453718247522
HGBS11,139.89185962476537,1241321.986435272,0.36049988774106795,0.08534499102003071,4.224030999739137
GGRC11,1.1324981506849308,2296303.5699178083,0.7349099388779533,0.29759111084170686,2.4695292033398903
