Date,Open,High,Low,Close,Adj Close,Volume
2010-09-14,42.450001,42.450001,42.450001,42.450001,42.364868,6
2010-09-15,null,null,null,null,null,null
2010-09-16,41.500000,42.450001,40.549999,40.549999,40.468678,26
2010-09-17,42.450001,42.450001,42.450001,42.450001,42.364868,2
2010-09-20,null,null,null,null,null,null
2010-09-21,null,null,null,null,null,null
2010-09-22,null,null,null,null,null,null
2010-09-23,42.299999,42.299999,40.549999,40.549999,40.468678,13
2010-09-24,42.299999,42.299999,42.299999,42.299999,42.215168,3
2010-09-27,41.250000,41.250000,41.250000,41.250000,41.167274,0
2010-09-28,null,null,null,null,null,null
2010-09-29,null,null,null,null,null,null
2010-09-30,41.250000,42.299999,41.099998,42.299999,42.215168,44
2010-10-01,null,null,null,null,null,null
2010-10-04,41.250000,41.250000,41.250000,41.250000,41.167274,16
2010-10-05,38.299999,42.299999,38.299999,42.250000,42.165268,117
2010-10-06,null,null,null,null,null,null
2010-10-07,42.250000,42.299999,40.500000,40.500000,40.418777,131
2010-10-08,42.299999,42.299999,42.299999,42.299999,42.215168,2
2010-10-11,41.000000,41.000000,40.000000,40.000000,39.919781,106
2010-10-13,null,null,null,null,null,null
2010-10-14,42.250000,42.250000,42.250000,42.250000,42.165268,6
2010-10-15,42.000000,42.000000,42.000000,42.000000,41.915771,35
2010-10-18,null,null,null,null,null,null
2010-10-19,40.000000,40.000000,40.000000,40.000000,39.919781,25
2010-10-20,null,null,null,null,null,null
2010-10-21,null,null,null,null,null,null
2010-10-22,null,null,null,null,null,null
2010-10-25,40.000000,40.000000,40.000000,40.000000,39.919781,7
2010-10-26,40.049999,40.049999,40.049999,40.049999,39.969681,10
2010-10-27,null,null,null,null,null,null
2010-10-28,null,null,null,null,null,null
2010-10-29,40.750000,40.750000,40.750000,40.750000,40.668278,0
2010-11-01,41.700001,41.700001,41.700001,41.700001,41.616371,22
2010-11-03,41.700001,42.250000,40.750000,42.250000,42.165268,144
2010-11-04,41.750000,41.750000,41.700001,41.700001,41.616371,84
2010-11-05,null,null,null,null,null,null
2010-11-08,42.250000,42.250000,42.250000,42.250000,42.165268,80
2010-11-09,40.500000,40.500000,40.000000,40.000000,39.919781,361
2010-11-10,null,null,null,null,null,null
2010-11-11,null,null,null,null,null,null
2010-11-12,44.549999,44.549999,44.549999,44.549999,44.460655,3
2010-11-16,44.549999,44.549999,40.500000,40.500000,40.418777,64
2010-11-17,44.250000,44.250000,44.250000,44.250000,44.161259,2
2010-11-18,42.500000,42.500000,42.500000,42.500000,42.414764,10
2010-11-19,42.500000,42.950001,42.500000,42.950001,42.863869,51
2010-11-22,42.500000,42.500000,42.500000,42.500000,42.414764,1
2010-11-23,40.599998,40.599998,40.500000,40.500000,40.418777,40
2010-11-24,43.000000,43.000000,43.000000,43.000000,42.913765,20
2010-11-25,43.000000,43.000000,43.000000,43.000000,42.913765,21
2010-11-26,40.549999,40.750000,40.500000,40.750000,40.668278,52
2010-11-29,40.750000,40.750000,40.750000,40.750000,40.668278,12
2010-11-30,40.750000,41.400002,40.750000,41.400002,41.316978,14
2010-12-01,41.000000,41.000000,41.000000,41.000000,40.917778,47
2010-12-02,null,null,null,null,null,null
2010-12-03,41.000000,41.000000,41.000000,41.000000,40.917778,28
2010-12-06,40.750000,40.750000,40.150002,40.500000,40.418777,152
2010-12-07,null,null,null,null,null,null
2010-12-08,null,null,null,null,null,null
2010-12-09,40.000000,40.049999,40.000000,40.000000,39.919781,535
2010-12-10,40.000000,40.000000,40.000000,40.000000,39.919781,5
2010-12-13,null,null,null,null,null,null
2010-12-14,41.200001,41.849998,41.200001,41.849998,41.766071,12
2010-12-15,null,null,null,null,null,null
2010-12-16,41.750000,41.750000,41.750000,41.750000,41.666275,4
2010-12-17,41.500000,41.500000,41.250000,41.250000,41.167274,71
2010-12-20,41.250000,41.250000,41.250000,41.250000,41.167274,8
2010-12-21,41.849998,41.849998,41.849998,41.849998,41.766071,40
2010-12-22,41.849998,41.849998,41.849998,41.849998,41.766071,100
2010-12-23,null,null,null,null,null,null
2010-12-27,null,null,null,null,null,null
2010-12-28,40.000000,40.000000,40.000000,40.000000,39.919781,0
2010-12-29,null,null,null,null,null,null
2010-12-30,41.200001,41.849998,41.000000,41.000000,40.917778,69
2011-01-03,41.099998,41.099998,41.000000,41.000000,40.917778,146
