Date,Open,High,Low,Close,Adj Close,Volume
2006-02-08,23.855801,24.268900,23.314699,23.855801,18.508884,5852750
2006-02-09,24.318100,24.967400,23.924601,24.593599,19.081322,1527839
2006-02-10,25.065800,25.380600,24.200100,24.593599,19.081322,713398
2006-02-13,24.593599,24.957600,23.954100,24.593599,19.081322,1488092
2006-02-14,24.485399,25.577299,24.445999,25.577299,19.844538,837211
2006-02-15,25.557600,25.980600,24.790300,24.987101,19.386625,357614
2006-02-16,24.987101,25.567499,24.790300,25.282200,19.615580,277512
2006-02-17,25.282200,25.478901,24.888700,25.478901,19.768194,97078
2006-02-20,25.439600,25.439600,24.800100,24.888700,19.310284,54079
2006-02-21,24.888700,25.183800,24.839500,24.937901,19.348454,365238
2006-02-22,24.878901,25.429800,24.691900,24.888700,19.310284,326102
2006-02-23,24.731300,24.987101,24.731300,24.977200,19.378941,488746
2006-02-24,25.075600,25.075600,24.396799,24.809999,19.249216,89454
2006-02-27,null,null,null,null,null,null
2006-02-28,null,null,null,null,null,null
2006-03-01,24.829700,25.774099,24.829700,25.085400,19.462891,294996
2006-03-02,25.055901,25.577299,25.036200,25.301901,19.630875,1133325
2006-03-03,25.183800,25.282200,24.888700,25.085400,19.462891,710755
2006-03-06,24.977200,24.977200,24.652599,24.691900,19.157587,270904
2006-03-07,24.682100,24.682100,23.344200,23.708200,18.394375,133572
2006-03-08,23.501600,23.511400,23.019600,23.265499,18.050896,235021
2006-03-09,23.314699,23.413099,22.675301,22.872000,17.745602,219061
2006-03-10,22.754000,23.708200,21.652201,23.413099,18.165413,489559
2006-03-13,23.609800,23.619699,23.314699,23.314699,18.089066,125744
2006-03-14,22.822800,23.363899,22.822800,23.314699,18.089066,134588
2006-03-15,23.118000,23.668800,23.118000,23.659000,18.356201,39543
2006-03-16,23.609800,24.101700,23.314699,23.708200,18.394375,148209
2006-03-17,23.609800,24.082001,23.226200,23.659000,18.356201,34054
2006-03-20,23.895100,23.973801,23.777100,23.904900,18.546986,94232
2006-03-21,23.777100,24.544399,23.708200,24.200100,18.776024,242950
2006-03-22,23.914801,24.632900,23.914801,24.209900,18.783621,56824
2006-03-23,24.849300,24.977200,23.904900,24.101700,18.699680,112834
2006-03-24,24.101700,24.495199,24.101700,24.101700,18.699680,105617
2006-03-27,23.619699,24.003300,23.609800,23.816401,18.478321,27446
2006-03-28,23.600000,23.708200,21.937500,21.937500,17.020544,25616
2006-03-29,22.134199,23.609800,22.134199,22.872000,17.745602,303230
2006-03-30,23.118000,23.206499,22.665400,22.665400,17.585295,219773
2006-03-31,22.872000,23.708200,22.872000,23.708200,18.394375,168540
2006-04-03,23.127800,24.209900,23.127800,23.954100,18.585157,27141
2006-04-04,23.904900,24.347601,23.904900,24.200100,18.776024,172606
2006-04-05,24.200100,24.298401,24.052500,24.101700,18.699680,123610
2006-04-06,24.101700,24.298401,23.708200,23.895100,18.539383,242136
2006-04-07,24.101700,24.593599,23.708200,24.593599,19.081322,99010
2006-04-10,24.200100,24.691900,24.200100,24.209900,18.783621,78882
2006-04-11,24.101700,24.111500,22.940901,23.019600,17.860115,32427
2006-04-12,23.403200,23.413099,22.970400,23.167101,17.974550,22465
2006-04-13,23.019600,23.019600,22.822800,22.822800,17.707420,3151
2006-04-14,null,null,null,null,null,null
2006-04-17,22.635900,22.921200,22.242399,22.380100,17.363949,31004
2006-04-18,23.009701,23.009701,22.134199,22.330999,17.325855,34765
2006-04-19,22.478500,22.724501,21.239000,21.248800,16.486212,396039
2006-04-20,21.258699,21.652201,21.258699,21.258699,16.493891,400105
2006-04-21,null,null,null,null,null,null
2006-04-24,21.248800,21.937500,20.579901,21.632500,16.783909,314615
2006-04-25,21.544001,21.927601,20.953699,21.061899,16.341204,162136
2006-04-26,21.347200,21.544001,20.707800,21.061899,16.341204,74613
2006-04-27,21.229200,21.248800,20.176600,20.461800,15.875605,255046
2006-04-28,20.265100,20.806200,19.281401,20.727501,16.081753,589687
2006-05-01,null,null,null,null,null,null
2006-05-02,20.638901,20.943899,20.461800,20.658600,16.028292,269583
2006-05-03,20.757000,21.052099,20.560200,20.560200,15.951947,140687
2006-05-04,20.560200,21.445601,20.560200,20.658600,16.028292,83558
2006-05-05,20.658600,20.953699,20.658600,20.766800,16.112247,127574
2006-05-08,20.943899,20.953699,20.757000,20.855301,16.180906,434260
2006-05-09,20.884899,20.953699,20.658600,20.855301,16.180906,3950040
2006-05-10,20.707800,21.150499,20.707800,20.904499,16.219078,1008394
